size;array;vector;bst;deque;bittrick deque;tiered vector (k=2);bittrick tiered vector (k=2);deque tiered vector (k=2)
71500;3.94764e-07;2.96067e-05;0.0166023;0.000421995;0.000288172;0.0010386;0.000550291;0.00246289
72000;0;2.88172e-05;0.0162766;0.000423969;0.000274356;0.000896887;0.000574766;0.00245657
72500;0;3.03963e-05;0.01581;0.000402257;0.000295673;0.00093202;0.000577529;0.00257658
73000;0;3.03963e-05;0.0174021;0.000401862;0.000268435;0.000894913;0.00055187;0.00267329
73500;0;2.9212e-05;0.0164657;0.000401468;0.000266856;0.000906361;0.000573581;0.00254815
74000;0;2.96067e-05;0.0196107;0.000399494;0.000274356;0.000873202;0.00055108;0.00251499
74500;3.94764e-07;3.19752e-05;0.0171249;0.000410547;0.000275935;0.000877544;0.000586214;0.00255526
75000;0;3.15805e-05;0.0165818;0.00039002;0.00027554;0.000885044;0.000590556;0.00254381
75500;3.94764e-07;3.03963e-05;0.0162908;0.000410547;0.000276724;0.00097426;0.00055187;0.00306884
76000;0;3.11858e-05;0.0162825;0.000412126;0.000277514;0.000941495;0.00055187;0.00268948
76500;0;3.00015e-05;0.0165818;0.000433443;0.000269619;0.00103189;0.000576739;0.00248499
77000;0;3.00015e-05;0.0166406;0.00039002;0.000270408;0.000881886;0.000573187;0.00254342
77500;0;3.00015e-05;0.0161527;0.000410152;0.000336727;0.00090873;0.000553054;0.00273803
78000;0;3.00015e-05;0.0163631;0.00039002;0.000279093;0.000928862;0.000605952;0.0026425
78500;3.94764e-07;3.00015e-05;0.0167539;0.000434232;0.000271987;0.000911888;0.000552659;0.00254026
79000;0;2.88173e-05;0.016519;0.000411336;0.000272382;0.0009486;0.000577924;0.00249841
79500;3.94764e-07;3.35544e-05;0.0194473;0.00039002;0.000272382;0.000907151;0.000552659;0.00250592
80000;0;3.03963e-05;0.0197623;0.000411731;0.000275145;0.00089294;0.000572397;0.00270487
80500;0;3.03963e-05;0.0169398;0.000403047;0.000286199;0.000888202;0.000576345;0.00254658
81000;0;3.23701e-05;0.0168601;0.000446865;0.000297252;0.000954522;0.000617794;0.00258447
81500;0;3.11857e-05;0.0169856;0.000634374;0.00027633;0.000943863;0.00057516;0.00247512
82000;0;3.03963e-05;0.0168455;0.000423179;0.000277119;0.00090794;0.000579108;0.00254026
82500;0;3.00015e-05;0.0167349;0.000430285;0.000298436;0.000890966;0.00057595;0.00251578
83000;0;3.0791e-05;0.0162517;0.000401073;0.000319358;0.000912677;0.000554238;0.00250592
83500;0;3.11857e-05;0.0164511;0.000401468;0.00027554;0.000960048;0.000554238;0.00260303
84000;0;3.11858e-05;0.0163804;0.000460681;0.000275935;0.000947811;0.000577134;0.00252684
84500;0;3.35543e-05;0.0193695;0.000578318;0.000320542;0.00113848;0.000555028;0.00279409
85000;3.94764e-07;3.15806e-05;0.0212896;0.00055937;0.000279882;0.00108163;0.000577134;0.00260224
85500;0;3.03963e-05;0.0215119;0.000426337;0.00030041;0.00125454;0.000555423;0.00246052
86000;3.94764e-07;3.00015e-05;0.0181521;0.0004141;0.000277909;0.00113177;0.000555423;0.0025221
86500;0;3.55281e-05;0.017344;0.000419626;0.000277514;0.000964391;0.000592925;0.00249644
87000;0;5.56606e-05;0.0169094;0.000466997;0.000287383;0.00116572;0.00056016;0.00247236
87500;0;3.27647e-05;0.0168368;0.000894913;0.000277909;0.000978207;0.000586214;0.00265513
88000;0;3.11858e-05;0.016853;0.000898466;0.000278698;0.00103979;0.00056016;0.00252684
88500;3.94648e-07;4.18442e-05;0.0169457;0.000731089;0.000302778;0.00156482;0.000589767;0.00252407
89000;0;3.07909e-05;0.016757;0.000415284;0.000499367;0.0010769;0.000599241;0.00251026
89500;0;3.94756e-05;0.0220855;0.0004141;0.000466208;0.00114874;0.00058345;0.00258052
90000;0;4.18442e-05;0.0176046;0.000413705;0.000329622;0.001039;0.000678192;0.00292238
90500;0;3.0791e-05;0.0177443;0.000455549;0.000304357;0.000980181;0.000562134;0.00247552
91000;0;3.03963e-05;0.0170389;0.000422784;0.000288567;0.000967943;0.000591345;0.00256908
91500;0;3.00015e-05;0.018038;0.000401862;0.000288962;0.00115466;0.000564107;0.00259395
92000;0;3.0791e-05;0.0171609;0.000423969;0.000471734;0.000960443;0.000587398;0.00256197
92500;0;3.03963e-05;0.0169457;0.000402257;0.000417653;0.00106387;0.000573581;0.0026275
93000;0;4.06599e-05;0.0168312;0.000401862;0.000397915;0.0010165;0.000587793;0.002545
93500;0;2.9212e-05;0.016742;0.000401468;0.000370282;0.00104255;0.000562134;0.00268435
94000;0;0.000113295;0.0170799;0.000461076;0.000291331;0.00101058;0.000561344;0.00250394
94500;0;3.19753e-05;0.0197998;0.000413705;0.000290146;0.00108361;0.000587398;0.00278935
95000;3.94764e-07;3.03963e-05;0.025797;0.000465023;0.000293304;0.000962022;0.000588582;0.00273566
95500;0;3.03962e-05;0.0217736;0.000429495;0.000343043;0.000963206;0.000586608;0.00274553
96000;0;3.00015e-05;0.0185176;0.000424363;0.000302778;0.000982155;0.000585819;0.00274159
96500;0;3.00015e-05;0.0183664;0.000401862;0.000316595;0.00104255;0.000725563;0.00252605
97000;0;3.27647e-05;0.0174767;0.000402257;0.00029133;0.00100939;0.000800567;0.00250355
97500;0;3.00015e-05;0.0171159;0.000434232;0.000291725;0.000942284;0.000711746;0.00256671
98000;3.94764e-07;3.0791e-05;0.0187644;0.000442127;0.000291725;0.000967154;0.000561739;0.00276448
98500;3.94764e-07;7.22405e-05;0.0173736;0.000411731;0.0003237;0.00110532;0.000562923;0.00293423
99000;0;3.00015e-05;0.0180352;0.000420811;0.000295673;0.000938337;0.000780434;0.00282685
99500;3.94764e-07;5.76345e-05;0.0219619;0.000434627;0.000353307;0.00111835;0.00128138;0.00257579
100000;0;0.000362781;0.0182046;0.000402652;0.000360413;0.000947021;0.000793461;0.00258526
100500;0;5.68449e-05;0.0179792;0.000401862;0.000327253;0.00094031;0.000623716;0.00346833
101000;0;7.1451e-05;0.0172746;0.000444891;0.000297252;0.000941889;0.000586608;0.00266579
101500;0;3.82913e-05;0.0174893;0.000402257;0.000352518;0.0010161;0.000587793;0.00256513
102000;0;5.40817e-05;0.0181939;0.000401862;0.000347781;0.00120598;0.00062411;0.00256158
102500;0;7.77671e-05;0.0175268;0.000402257;0.000310279;0.000971496;0.000588582;0.00258684
103000;0;7.34248e-05;0.0170582;0.000427916;0.000317779;0.000999524;0.000590556;0.00270527
103500;3.94764e-07;2.9212e-05;0.0173977;0.000442917;0.000304357;0.000947416;0.000590556;0.00271277
104000;0;2.88173e-05;0.0225284;0.000424363;0.000297252;0.00116966;0.000611083;0.00259
104500;3.94764e-07;2.88172e-05;0.0228027;0.000431864;0.000297252;0.00103229;0.000601609;0.00283119
105000;3.94648e-07;2.88172e-05;0.0186286;0.000403047;0.000307121;0.000972681;0.000611478;0.0027554
105500;3.94764e-07;2.88172e-05;0.0178758;0.000424363;0.000303963;0.000945837;0.000643059;0.0025896
106000;0;2.84226e-05;0.0182405;0.000423969;0.000309884;0.000963996;0.000572397;0.00256868
106500;0;2.9212e-05;0.0176748;0.000401862;0.000363571;0.000956101;0.000599241;0.00269342
107000;0;4.30285e-05;0.0183862;0.000402257;0.000295673;0.000966759;0.000574371;0.00259118
107500;0;3.00015e-05;0.0178477;0.000423574;0.000359229;0.00095768;0.000597267;0.00255052
108000;0;2.96067e-05;0.0187265;0.000425153;0.000386862;0.000947021;0.000573976;0.00259395
108500;0;2.96067e-05;0.0179484;0.000421995;0.000296462;0.000970707;0.000574766;0.00252842
109000;0;2.96067e-05;0.0272027;0.000402257;0.000298831;0.00102637;0.000634769;0.00266027
109500;0;3.00015e-05;0.0198622;0.000401862;0.000307121;0.0009486;0.000592925;0.00259829
110000;0;2.96067e-05;0.0187225;0.000434232;0.000382519;0.0009486;0.000587003;0.00278106
110500;0;2.88173e-05;0.0181987;0.000686482;0.00029962;0.00110334;0.000588187;0.00274435
111000;3.94764e-07;2.88172e-05;0.0186219;0.000471734;0.00029962;0.00122256;0.000609504;0.00264605
111500;0;2.88173e-05;0.0182314;0.000414495;0.000300015;0.000982155;0.00061661;0.00271711
112000;0;2.88172e-05;0.0189673;0.000441733;0.000300805;0.000950574;0.00059253;0.00258487
112500;0;2.88172e-05;0.0180518;0.0004141;0.000305542;0.000952943;0.000591345;0.002605
