size;array;vector;bst;deque;bittrick deque;tiered vector (k=2);bittrick tiered vector (k=2);deque tiered vector (k=2)
448500;0.129372;0.0235172;0.00264448;0.369592;0.0824651;0.00238512;0.00114953;0.00192641
448000;0.125964;0.0228059;0.00254342;0.378754;0.0756567;0.0023413;0.00112348;0.00199076
447500;0.129451;0.0222832;0.00161574;0.392858;0.082141;0.00225682;0.00109861;0.00211116
447000;0.126231;0.0234316;0.00158692;0.3778;0.0755714;0.0023263;0.00112545;0.00203576
446500;0.125865;0.0228454;0.0015581;0.36487;0.0845285;0.0023188;0.00112032;0.00197892
446000;0.128407;0.0240284;0.0015506;0.3683;0.0896646;0.00332109;0.00120993;0.00202431
445500;0.125059;0.0233562;0.00157942;0.368437;0.0746907;0.00233183;0.00120914;0.00197141
445000;0.144621;0.0231383;0.0016264;0.369747;0.0748755;0.00232512;0.00123283;0.0019651
444500;0.129723;0.0240182;0.00166469;0.365226;0.0744302;0.00236222;0.0012344;0.00197102
444000;0.127696;0.0233949;0.00169469;0.380783;0.0757384;0.00233183;0.00122256;0.00213327
443500;0.125212;0.0227036;0.00159995;0.362414;0.0789841;0.00229235;0.00120953;0.00217195
443000;0.122049;0.022721;0.0015814;0.363625;0.0735838;0.0023117;0.00127625;0.00204602
442500;0.127141;0.0258491;0.00156403;0.373073;0.0745198;0.00239973;0.00128493;0.00207405
442000;0.126456;0.0238524;0.00164969;0.376543;0.0756441;0.00231801;0.00125138;0.00205392
441500;0.126129;0.0229977;0.00157745;0.383614;0.0761754;0.00227143;0.00126756;0.00202273
441000;0.122486;0.0230491;0.00160863;0.366789;0.0737042;0.0023192;0.00128414;0.00198247
440500;0.126848;0.0245866;0.00160784;0.365708;0.0742735;0.00271119;0.00133191;0.00196628
440000;0.124843;0.0215506;0.00161298;0.363819;0.0718753;0.00252526;0.00121703;0.00195997
439500;0.121261;0.0230712;0.00177641;0.369224;0.0734532;0.00252092;0.00154389;0.00195957
439000;0.127735;0.0231264;0.00182101;0.363313;0.0739758;0.0024617;0.00155732;0.00196707
438500;0.124093;0.0228209;0.00153876;0.356513;0.0716093;0.00241038;0.00151547;0.00196628
438000;0.12067;0.0247706;0.00152416;0.376018;0.0758845;0.00315845;0.00137099;0.00199707
437500;0.126814;0.0222347;0.00151034;0.379079;0.0787559;0.00353307;0.00121269;0.00196431
437000;0.133984;0.0242712;0.00148744;0.367374;0.0744302;0.00321135;0.00124467;0.00194931
436500;0.124452;0.0234253;0.00154231;0.357598;0.0720352;0.00273448;0.00117203;0.00192523
