size;array;vector;bst;deque;bittrick deque;tiered vector (k=2);bittrick tiered vector (k=2);deque tiered vector (k=2)
79000;0.0200836;0.00259987;0.00104729;0.0789048;0.0211021;0.000939521;0.000431864;0.000992024
79500;0.0202325;0.00262158;0.00101137;0.0780722;0.0211013;0.000905572;0.000432653;0.000982549
80000;0.021864;0.00265829;0.00100387;0.0781788;0.0209884;0.0009411;0.000436996;0.00102163
80500;0.0204204;0.00274514;0.00101492;0.0776356;0.0208384;0.000951758;0.000441733;0.00153758
81000;0.0204697;0.00274909;0.0010315;0.0717044;0.0194698;0.000949785;0.000440943;0.00127191
81500;0.0205131;0.0031845;0.00100505;0.0770983;0.0207839;0.000955706;0.000443707;0.000993603
82000;0.0205163;0.00282251;0.00100663;0.0763799;0.0207255;0.000946627;0.000441338;0.000971101
82500;0.0205676;0.00285528;0.00102005;0.0787401;0.0212142;0.000978602;0.00045397;0.000970312
83000;0.0211455;0.00283948;0.00105203;0.0709232;0.0201638;0.000975049;0.000449233;0.000969128
83500;0.0212426;0.00279448;0.00102676;0.078311;0.0230573;0.000969128;0.00044568;0.00101847
84000;0.0217874;0.00290146;0.0010844;0.0751254;0.0205877;0.000978997;0.000448049;0.000981365
84500;0.0223365;0.00294015;0.00140849;0.0759954;0.020476;0.000983734;0.000456734;0.000972286
85000;0.0213654;0.00299226;0.0014227;0.070828;0.0199557;0.00095768;0.000448444;0.000988471
85500;0.021937;0.00295357;0.00126638;0.0756879;0.0212549;0.000964785;0.000447259;0.000982944
86000;0.0215585;0.00278185;0.00119335;0.0791096;0.0224297;0.000948995;0.000438575;0.00102597
86500;0.0218916;0.0030416;0.00115901;0.0723293;0.020403;0.000988076;0.000462655;0.00104295
87000;0.0220689;0.00314976;0.00114519;0.0746299;0.0211408;0.000967943;0.000457128;0.00106308
87500;0.0225513;0.0032224;0.00119177;0.0747045;0.0208862;0.00101887;0.000476077;0.000968733
88000;0.022389;0.00300805;0.00113611;0.0727462;0.0211546;0.000962417;0.000451996;0.000979786
88500;0.0224802;0.00308344;0.00117361;0.0713286;0.0223906;0.000964785;0.00045397;0.000943863
89000;0.0228844;0.00306686;0.00112229;0.0770056;0.0216252;0.000960048;0.000452786;0.00099834
89500;0.0229997;0.00313674;0.0011519;0.0763898;0.0217835;0.000983339;0.000460681;0.000986497
90000;0.0225548;0.00325793;0.00111992;0.0774126;0.0222477;0.000992418;0.000470155;0.00101571
90500;0.0229835;0.00331082;0.00111558;0.0775673;0.0215912;0.00101571;0.000480419;0.001024
91000;0.0230317;0.00331556;0.0012048;0.0722349;0.0208645;0.001009;0.000476077;0.000988471
91500;0.0232452;0.0032599;0.00151823;0.0730718;0.0212348;0.000992813;0.000465813;0.000996761
92000;0.0233878;0.00329898;0.00146652;0.072203;0.0210315;0.000981365;0.000461471;0.000969917
92500;0.0228679;0.00349636;0.0013027;0.0737512;0.0210966;0.00101808;0.000486735;0.00096597
93000;0.0229496;0.00328793;0.00127506;0.0734922;0.0221194;0.000993997;0.000472919;0.000992024
93500;0.0230601;0.00333846;0.00168916;0.074005;0.021669;0.000999129;0.000473313;0.000973075
94000;0.0231777;0.00329148;0.00125848;0.0749517;0.0225627;0.00101768;0.000478445;0.000984128
94500;0.0238587;0.00355044;0.00127862;0.0744661;0.0214803;0.00101216;0.000484366;0.00098176
95000;0.0235733;0.0034482;0.00116374;0.0742218;0.0216903;0.00103624;0.000483577;0.000970707
95500;0.0237186;0.00352755;0.00128375;0.072486;0.0221008;0.00103426;0.000493446;0.000992418
96000;0.0244512;0.00351097;0.00126598;0.0748613;0.0222872;0.00102518;0.000489498;0.00100268
96500;0.0240561;0.0033807;0.00117756;0.0723289;0.0228564;0.00102005;0.000481998;0.000982155
97000;0.0243778;0.00404033;0.00115545;0.0755706;0.0225489;0.00104255;0.000496209;0.000980181
97500;0.0243403;0.00351136;0.00116809;0.0763641;0.0245531;0.00101334;0.000483182;0.00102913
98000;0.0252167;0.0035311;0.00122572;0.0775377;0.0235895;0.00102716;0.000487524;0.00100189
98500;0.0276026;0.00371071;0.00115901;0.073598;0.0221585;0.00103782;0.000496604;0.000995971
99000;0.025386;0.0037644;0.00132994;0.0716057;0.0216729;0.00106979;0.000504894;0.00102795
99500;0.0249628;0.00401152;0.00123559;0.0747097;0.0218494;0.00108163;0.000517921;0.00103821
100000;0.0246612;0.00382638;0.00132717;0.0787678;0.023413;0.00107137;0.000515157;0.00105005
100500;0.0247686;0.00382598;0.00114243;0.0733896;0.0226997;0.00104492;0.000505289;0.00100623
101000;0.0248061;0.00370637;0.00112545;0.0780552;0.0240809;0.00104413;0.000516342;0.00103663
101500;0.0248859;0.00361518;0.00112308;0.0768864;0.0235512;0.00103663;0.000505289;0.00101808
102000;0.0250694;0.00381177;0.00112427;0.0773427;0.0265186;0.00112545;0.000525026;0.00101295
102500;0.0259931;0.00372887;0.0011069;0.0740244;0.0236226;0.00111558;0.00051121;0.000993208
103000;0.0259355;0.00408218;0.00109032;0.073373;0.0227423;0.00106111;0.000550686;0.00103939
103500;0.0257745;0.00389546;0.00108321;0.072891;0.0230139;0.00106742;0.000515552;0.0010311
104000;0.0259201;0.00402297;0.0011369;0.0745494;0.0237249;0.00110256;0.00053529;0.00104847
104500;0.0263994;0.0038394;0.00108519;0.0730438;0.0233455;0.00106032;0.000511999;0.00101295
105000;0.0263322;0.00430443;0.00108005;0.0769314;0.0243182;0.00106663;0.0005195;0.00104611
105500;0.0258645;0.00385638;0.0011065;0.0770166;0.0243833;0.00103545;0.000500551;0.00107492
106000;0.0262576;0.00386033;0.00111756;0.0763578;0.0243782;0.00107848;0.000511999;0.00106584
